nom_commune_postal,latitude,longitude,code_postal,code_commune_INSEE,nom_departement,nom_département
CHARTEVES,49.0898127369,3.50871838479,02400,02166,Aisne,Aisne
CHASSEMY,49.3783410842,3.50271467967,02370,02167,Aisne,Aisne
CHATEAU THIERRY,49.0564070801,3.38160004843,02400,02168,Aisne,Aisne
CHATILLON LES SONS,49.7618503091,3.70312508858,02270,02169,Aisne,Aisne
CHATILLON SUR OISE,49.7938161671,3.41630401708,02240,02170,Aisne,Aisne
CHAUDARDES,49.3962562981,3.78942153696,02160,02171,Aisne,Aisne
CHAUDUN,49.3150223009,3.25276338247,02200,02172,Aisne,Aisne
CHAUNY,49.619880673,3.21875355041,02300,02173,Aisne,Aisne
CHAVIGNON,49.4794437147,3.51936895626,02000,02174,Aisne,Aisne
CHAVIGNY,49.4232730431,3.30567490669,02880,02175,Aisne,Aisne
CHAVONNE,49.4073162185,3.56243209622,02370,02176,Aisne,Aisne
CHERET,49.5141661683,3.68718851388,02860,02177,Aisne,Aisne
CHERMIZY AILLES,49.4629888139,3.71995479046,02860,02178,Aisne,Aisne
CHERY CHARTREUVE,49.2556867214,3.60484629397,02220,02179,Aisne,Aisne
CHERY LES POUILLY,49.6488389918,3.59416271271,02000,02180,Aisne,Aisne
CHERY LES ROZOY,49.7222192886,4.1011989282,02360,02181,Aisne,Aisne
CHEVENNES,49.818366417,3.7371313317,02250,02182,Aisne,Aisne
CHEVREGNY,49.4661009452,3.59365333616,02000,02183,Aisne,Aisne
CHEVRESIS MONCEAU,49.7616780422,3.5837583969,02270,02184,Aisne,Aisne
CHEZY EN ORXOIS,49.1268031885,3.16759094422,02810,02185,Aisne,Aisne
CHEZY SUR MARNE,48.983996655,3.38226485102,02570,02186,Aisne,Aisne
CHIERRY,49.035155356,3.43302324278,02400,02187,Aisne,Aisne
CHIGNY,49.9298846139,3.77489645427,02120,02188,Aisne,Aisne
CHIVRES EN LAONNOIS,49.6268606782,3.85603255601,02350,02189,Aisne,Aisne
CHIVRES VAL,49.4029298198,3.43836038727,02880,02190,Aisne,Aisne
CHIVY LES ETOUVELLES,49.5326303582,3.58562168803,02000,02191,Aisne,Aisne
CHOUY,49.2167334121,3.24708004454,02210,02192,Aisne,Aisne
CIERGES,49.1648316775,3.60411788847,02130,02193,Aisne,Aisne
CILLY,49.7490011958,3.84000022806,02250,02194,Aisne,Aisne
CIRY SALSOGNE,49.3674868367,3.46778299062,02220,02195,Aisne,Aisne
CLACY ET THIERRET,49.5524137158,3.56557185412,02000,02196,Aisne,Aisne
CLAIRFONTAINE,49.9739945177,3.98660655282,02260,02197,Aisne,Aisne
CLAMECY,49.4281077825,3.36378754787,02880,02198,Aisne,Aisne
CLASTRES,49.7488769741,3.2302033407,02440,02199,Aisne,Aisne
CLERMONT LES FERMES,49.6601654327,3.94320327145,02340,02200,Aisne,Aisne
COEUVRES ET VALSERY,49.3295432232,3.15290453511,02600,02201,Aisne,Aisne
COINCY,49.1632280955,3.43633795455,02210,02203,Aisne,Aisne
COINGT,49.7923246397,4.09591303887,02360,02204,Aisne,Aisne
COLLIGIS CRANDELAIN,49.4666159338,3.63042181928,02860,02205,Aisne,Aisne
COLONFAY,49.8584586783,3.71138683561,02120,02206,Aisne,Aisne
COMMENCHON,49.6416913377,3.15095437349,02300,02207,Aisne,Aisne
CONCEVREUX,49.3764478648,3.78830446161,02160,02208,Aisne,Aisne
CONDE EN BRIE,49.0016101753,3.56116999962,02330,02209,Aisne,Aisne
CONDE SUR AISNE,49.4007552828,3.46571591087,02370,02210,Aisne,Aisne
CONDE SUR SUIPPE,49.4138370327,3.94498449027,02190,02211,Aisne,Aisne
CONDREN,49.6370236167,3.27726632135,02700,02212,Aisne,Aisne
CONNIGIS,49.0359363932,3.53287282671,02330,02213,Aisne,Aisne
CONTESCOURT,49.7916934603,3.23428350737,02680,02214,Aisne,Aisne
CORBENY,49.4620558975,3.82654082441,02820,02215,Aisne,Aisne
CORCY,49.2549892095,3.19724367023,02600,02216,Aisne,Aisne
COUCY LE CHATEAU AUFFRIQUE,49.5159709578,3.31548892957,02380,02217,Aisne,Aisne
COUCY LES EPPES,49.5566159059,3.77716711865,02840,02218,Aisne,Aisne
COUCY LA VILLE,49.5405792355,3.34372156034,02380,02219,Aisne,Aisne
COULONGES COHAN,49.1980463524,3.62776592985,02130,02220,Aisne,Aisne
COULONGES COHAN,49.1980463524,3.62776592985,02130,02220,Aisne,Aisne
COUPRU,49.0313536349,3.2743801467,02310,02221,Aisne,Aisne
COURBES,49.6815888779,3.46004834981,02800,02222,Aisne,Aisne
COURBOIN,48.9960917184,3.50690687861,02330,02223,Aisne,Aisne
COURCELLES SUR VESLE,49.348025885,3.57684035869,02220,02224,Aisne,Aisne
COURCHAMPS,49.1164230809,3.26303714363,02810,02225,Aisne,Aisne
COURMELLES,49.3434328339,3.30199112892,02200,02226,Aisne,Aisne
COURMONT,49.1377444173,3.57546880498,02130,02227,Aisne,Aisne
COURTEMONT VARENNES,49.0715288855,3.54168079771,02850,02228,Aisne,Aisne
COURTRIZY ET FUSSIGNY,49.5140957547,3.79503800634,02820,02229,Aisne,Aisne
COUVRELLES,49.3339841009,3.48486954064,02220,02230,Aisne,Aisne
COUVRON ET AUMENCOURT,49.6458776473,3.52446684584,02270,02231,Aisne,Aisne
COYOLLES,49.2133089693,3.01306173751,02600,02232,Aisne,Aisne
CRAMAILLE,49.2285541737,3.45227303073,02130,02233,Aisne,Aisne
CRAONNE,49.4476368348,3.79203280761,02160,02234,Aisne,Aisne
CRAONNELLE,49.4254999308,3.77686483236,02160,02235,Aisne,Aisne
CRECY AU MONT,49.4839031807,3.31195074309,02380,02236,Aisne,Aisne
CRECY SUR SERRE,49.698624191,3.62256564798,02270,02237,Aisne,Aisne
CREPY,49.6082534854,3.5125070585,02870,02238,Aisne,Aisne
CREZANCY,49.0428713757,3.51138201699,02650,02239,Aisne,Aisne
CROIX FONSOMME,49.9306761102,3.39430326005,02110,02240,Aisne,Aisne
LA CROIX SUR OURCQ,49.1598010602,3.35048905306,02210,02241,Aisne,Aisne
CROUTTES SUR MARNE,48.9791200153,3.24757642131,02310,02242,Aisne,Aisne
CROUY,49.4078535405,3.36640020468,02880,02243,Aisne,Aisne
CRUPILLY,49.9313828796,3.75249198254,02120,02244,Aisne,Aisne
CUFFIES,49.4081126802,3.32236958826,02880,02245,Aisne,Aisne
